ID	Name	Date of Birth	Date of Hire	2014 Salary	2013 Salary	2012 Salary	
123451	Gordon Lee	10/01/1937	10/01/2004				
123485	Chris Larson	07/01/1944	07/01/2004				
123465	Bills Clinton	01/01/1946	01/01/2004				
123484	George Larson	11/01/1949	11/01/2004				
123486	Eric Wang	01/01/1954	01/01/2004				
123472	Benjamin Jobs	01/01/1954	01/01/2004				
123466	Hillary Jordon	07/01/1960	07/01/2004				
430534	David L Hohl	11/08/1943	01/01/1953	" 102,000 "	" 2,400 "		
489909	Jumaan Nelson	01/18/1967	01/01/1981	" 139,700 "	" 133,100 "	" 126,700 "	
426223	Alina Donovan	09/15/1971	03/28/1974	" 104,400 "	" 99,400 "	" 94,700 "	
286491	Patric Aljebreen	11/08/1943	01/24/1985	" 86,000 "	" 81,900 "	" 78,000 "	
300843	Eric Baker	05/06/1948	04/09/1987	" 84,000 "	" 80,000 "	" 76,200 "	
443913	Dawn E Jackson	07/21/1945	10/26/1987	" 100,800 "	" 96,000 "	" 91,400 "	
123491	Amanda Shapiro	10/02/1965	04/20/1995	" 250,000 "	" 230,000 "	" 210,000 "	
205217	Natalie Butina	03/28/1948	06/17/1995	" 95,000 "	" 90,500 "	" 86,200 "	
345767	Susann K Gall	04/20/1966	01/03/1996	" 114,000 "	" 108,600 "	" 103,400 "	
446641	Amanda Shapiro	10/02/1964	05/24/1996	" 360,000 "	" 331,200 "	" 302,400 "	
320387	Jeremy Carlson	08/11/1970	06/04/1996	" 116,400 "	" 110,900 "	" 105,600 "	
218201	Michelle Richman	04/22/1943	10/24/1996	" 93,000 "	" 88,600 "	" 84,400 "	
357982	Richard G Harada	10/14/1948	05/12/1997	" 111,600 "	" 106,300 "	" 101,200 "	
545776	Brian Larson	12/14/1965	11/28/1997	" 133,900 "	" 127,600 "	" 121,400 "	
199741	Steve Al Jaloud	01/02/1945	05/14/1998	" 96,000 "	" 91,400 "	" 87,100 "	
489933	Luke Larson	08/30/1960	06/18/1999	" 138,200 "	" 131,600 "	" 125,400 "	
187427	Bret Tiedens	12/16/1957	12/20/2003	" 98,000 "	" 93,300 "	" 88,900 "	
144983	Adrienne Donovan	07/26/1975	01/15/2004	" 99,000 "	" 94,300 "	" 89,800 "	
310267	Jerome F Chen	06/04/1964	08/02/2004	" 118,800 "	" 113,100 "	" 107,800 "	
462488	Jacqueline E Lam	07/19/1961	02/18/2005	" 142,600 "	" 135,700 "	" 129,400 "	
232072	Jeanne M Brinkley	07/02/1966	07/05/2008	" 91,000 "	" 86,700 "	" 82,500 "	
375122	Rebecca M Kampwerth	11/22/1948	01/21/2009	" 109,200 "	" 104,000 "	" 99,000 "	
570202	Saleh Klendshoj	06/16/1944	09/17/2009	" 90,000 "	" 85,700 "	" 81,600 "	
250067	Roxanne L Brinkley	02/28/1960	09/17/2009	" 90,000 "	" 85,700 "	" 81,600 "	
406300	Alexis Asche	01/01/1961	04/05/2010	" 108,000 "	" 102,900 "	" 98,000 "	
578408	George Bartho	10/19/1947	06/10/2010	" 89,000 "	" 84,800 "	" 80,700 "	
253862	Yuyang Nelson	11/17/1963	06/10/2010	" 89,000 "	" 84,800 "	" 80,700 "	
206418	Nicholas Olson	02/23/1957	11/15/2010	" 320,000 "	" 32,000 "		
422365	Bruce D Hitpas	09/11/1957	12/27/2010	" 106,800 "	" 101,700 "	" 96,900 "	
579268	Jessika Benson	06/14/1960	08/19/2011	" 88,000 "	" 83,800 "	" 40,000 "	
255179	Bill Bossler	12/31/1960	08/19/2011	" 88,000 "	" 83,800 "	" 40,000 "	
423109	Casey A Jumaan	05/26/1944	03/06/2012	" 105,600 "	" 100,600 "	" 48,000 "	
369257	Robert L Guy	12/29/1961	12/31/2012	" 110,400 "	" 48,000 "		
352244	Susan R Harvestine	07/04/1958	06/04/2013	" 384,000 "	" 38,400 "		
565414	Blake Aho	07/27/1959	07/19/2013	" 132,500 "	" 57,600 "		
290999	Diane M Dehn	02/27/1971	11/22/2013	" 85,000 "	" 2,000 "		
538228	Yazeed Doll Woolley	04/22/1943	12/21/2013	" 460,800 "	" 46,100 "		
302798	Ryan Asche	03/10/1979	11/06/1995	" 300,000 "	" 276,000 "	" 252,000 "	
340436	DeeAnn S Duvall	02/01/1976	11/30/1998	" 115,200 "	" 109,700 "	" 104,500 "	
258130	Scott G Cress	09/26/1979	05/31/1979	" 87,000 "	" 82,900 "	" 78,900 "	
430276	Austin Carlson	04/13/1980	08/12/1985	" 103,200 "	" 98,300 "	" 93,600 "	
189508	Celina Souers	10/05/1982	11/17/1995	" 97,000 "	" 92,400 "	" 88,000 "	
537613	Celina Souers	10/05/1982	07/21/1996	" 136,800 "	" 130,300 "	" 124,100 "	
313615	Tracy A Gist	08/06/1993	07/07/2004	" 117,600 "	" 112,000 "	" 106,700 "	
472297	Aaron Johnson	01/18/1993	01/23/2005	" 141,100 "	" 134,400 "	" 128,000 "	
225139	Aaron Johnson	01/18/1993	06/14/2012	" 92,000 "	" 40,000 "		
